"respondent","condition","stimuli","accuracy","latency"
6,"Whitegood","failure",1,554
6,"Whitegood","bf14",1,550
6,"Whitegood","laughter",1,634
6,"Whitegood","wm4",1,482
6,"Whitegood","love",1,560
6,"Whitegood","wf2",1,467
6,"Whitegood","joy",1,458
6,"Whitegood","bm56",1,537
6,"Whitegood","wicked",1,430
6,"Whitegood","wm6",1,470
6,"Whitegood","evil",1,653
6,"Whitegood","bf23",1,444
6,"Whitegood","bm14",1,575
6,"Whitegood","terrible",1,418
6,"Whitegood","wm4",1,546
6,"Whitegood","pleasure",1,479
6,"Whitegood","wf3",1,493
6,"Whitegood","bf56",1,553
6,"Whitegood","horrible",1,429
6,"Whitegood","bm23",1,469
6,"Whitegood","pain",0,1395
6,"Whitegood","bf14",1,445
6,"Whitegood","glory",1,581
6,"Whitegood","bm56",1,600
6,"Whitegood","glory",1,561
6,"Whitegood","wf2",1,588
6,"Whitegood","laughter",1,598
6,"Whitegood","wf6",1,416
6,"Whitegood","annoying",1,561
6,"Whitegood","bm14",1,452
6,"Whitegood","failure",1,515
6,"Whitegood","wm1",1,648
6,"Whitegood","wicked",1,640
6,"Whitegood","bf23",1,560
6,"Whitegood","terrible",1,508
6,"Whitegood","bm23",1,497
6,"Whitegood","pleasure",1,567
6,"Whitegood","wm1",1,434
6,"Whitegood","joy",1,498
6,"Whitegood","bf56",1,560
6,"Whitegood","pain",1,540
6,"Whitegood","bm56",1,512
6,"Whitegood","bf56",0,1095
6,"Whitegood","peace",1,687
6,"Whitegood","wm4",1,541
6,"Whitegood","hate",1,633
6,"Whitegood","wm6",1,609
6,"Whitegood","evil",1,571
6,"Whitegood","bf14",1,542
6,"Whitegood","love",1,570
7,"Whitebad","pleasure",1,1286
7,"Whitebad","wm6",1,989
7,"Whitebad","good",1,1271
7,"Whitebad","wf2",0,1860
7,"Whitebad","laughter",1,1237
7,"Whitebad","bm23",1,1110
7,"Whitebad","wicked",1,668
7,"Whitebad","bf14",1,1018
7,"Whitebad","bm56",1,525
7,"Whitebad","terrible",1,626
7,"Whitebad","wm1",1,498
7,"Whitebad","peace",0,1080
7,"Whitebad","wf6",1,1158
7,"Whitebad","glory",1,1625
7,"Whitebad","bf56",1,434
7,"Whitebad","hate",1,770
7,"Whitebad","bm14",1,669
7,"Whitebad","love",1,892
7,"Whitebad","wm4",1,618
7,"Whitebad","wf3",1,766
7,"Whitebad","joy",1,921
7,"Whitebad","bf23",1,526
7,"Whitebad","failure",1,739
7,"Whitebad","wm6",1,503
7,"Whitebad","joy",1,685
7,"Whitebad","bf23",1,499
7,"Whitebad","glory",1,641
7,"Whitebad","wm4",1,537
7,"Whitebad","peace",1,741
7,"Whitebad","bf14",1,577
7,"Whitebad","bm23",1,719
7,"Whitebad","annoying",1,572
7,"Whitebad","bm56",1,775
7,"Whitebad","pain",1,906
7,"Whitebad","wf3",1,392
7,"Whitebad","horrible",1,690
7,"Whitebad","bf56",1,488
7,"Whitebad","evil",1,1254
7,"Whitebad","bm14",1,702
7,"Whitebad","good",0,1062
7,"Whitebad","wf6",1,1922
7,"Whitebad","horrible",1,1872
7,"Whitebad","wf2",1,655
7,"Whitebad","hate",1,759
7,"Whitebad","bf56",1,458
7,"Whitebad","failure",1,529
7,"Whitebad","bm14",1,525
7,"Whitebad","pain",1,906
7,"Whitebad","wm1",1,720
7,"Whitebad","annoying",1,589
7,"Whitebad","wm6",1,1463
7,"Whitebad","evil",1,535
7,"Whitebad","bm23",1,627
7,"Whitebad","love",1,460
7,"Whitebad","wm4",1,611
7,"Whitebad","wicked",1,781
7,"Whitebad","wm1",1,471
7,"Whitebad","laughter",0,939
7,"Whitegood","failure",1,1445
7,"Whitegood","bf14",1,965
7,"Whitegood","good",1,816
7,"Whitegood","wf2",1,449
7,"Whitegood","pleasure",1,545
7,"Whitegood","wf3",1,516
7,"Whitegood","evil",1,745
7,"Whitegood","wf6",1,596
7,"Whitegood","wicked",1,743
7,"Whitegood","wm4",1,554
7,"Whitegood","glory",1,1286
7,"Whitegood","bm23",1,500
7,"Whitegood","annoying",1,698
7,"Whitegood","wm6",1,520
7,"Whitegood","love",1,493
7,"Whitegood","bm56",1,682
7,"Whitegood","hate",1,600
7,"Whitegood","wm1",1,546
7,"Whitegood","pain",1,1326
7,"Whitegood","bf23",1,475
7,"Whitegood","wf3",1,377
7,"Whitegood","laughter",1,460
7,"Whitegood","bf56",1,602
7,"Whitegood","terrible",1,484
7,"Whitegood","wf2",1,474
7,"Whitegood","horrible",1,1033
7,"Whitegood","bm14",1,506
7,"Whitegood","wf6",1,611
7,"Whitegood","peace",0,906
