id	order	test	blocknum	trialnum	correct	latency
3	1	1	3	4	1	546
3	1	1	3	5	1	451
3	1	1	3	6	1	419
3	1	1	3	7	1	492
3	1	1	3	8	1	512
3	1	1	3	9	1	426
3	1	1	3	10	1	624
3	1	1	3	11	1	931
3	1	1	3	12	1	599
3	1	1	3	13	0	655
3	1	1	3	14	0	763
3	1	1	3	15	1	639
3	1	1	3	16	1	517
3	1	1	3	17	1	524
3	1	1	3	18	1	480
3	1	1	3	19	1	523
3	1	1	3	20	1	545
3	1	1	3	21	1	420
3	1	1	3	22	1	423
3	1	1	3	23	1	361
3	1	1	3	24	1	548
3	1	1	3	25	1	437
3	1	1	3	26	1	502
3	1	1	3	27	1	491
3	1	1	3	28	1	691
3	1	1	3	29	1	427
3	1	1	3	30	1	712
3	1	1	3	31	1	519
3	1	1	3	32	1	472
3	1	1	3	33	1	446
3	1	1	3	34	1	566
3	1	1	3	35	1	501
3	1	1	3	36	1	548
3	1	1	3	37	1	492
3	1	1	3	38	1	620
3	1	1	3	39	1	369
3	1	1	3	40	1	503
3	1	1	3	41	1	496
3	1	1	3	42	1	473
3	1	1	3	43	1	517
3	1	1	3	44	1	484
3	1	1	3	45	1	404
3	1	1	3	46	1	474
3	1	1	3	47	1	378
3	1	1	3	48	0	727
3	1	2	4	1	1	487
3	1	2	4	2	1	503
3	1	2	4	3	1	636
3	1	2	4	4	1	525
3	1	2	4	5	1	425
3	1	2	4	6	1	431
3	1	2	4	7	1	422
3	1	2	4	8	1	470
3	1	2	4	9	1	543
3	1	2	4	10	1	499
3	1	2	4	11	1	421
3	1	2	4	12	1	525
3	1	2	4	13	1	422
3	1	2	4	14	1	775
3	1	2	4	15	1	569
3	1	2	4	16	0	882
3	1	2	4	17	0	1032
3	1	2	4	18	1	485
3	1	2	4	19	1	556
3	1	2	4	20	1	532
3	1	2	4	21	1	638
3	1	2	4	22	1	503
3	1	2	4	23	1	525
3	1	2	4	24	1	548
3	1	2	4	25	1	561
3	1	2	4	26	1	550
3	1	2	4	27	0	1027
3	1	2	4	28	1	463
3	1	2	4	29	1	475
3	1	2	4	30	1	505
3	1	2	4	31	0	975
3	1	2	4	32	1	541
3	1	2	4	33	1	1303
3	1	2	4	34	1	414
3	1	2	4	35	1	518
3	1	2	4	36	1	525
3	1	2	4	37	1	385
3	1	2	4	38	1	467
3	1	2	4	39	1	590
3	1	2	4	40	1	404
3	1	2	4	41	1	615
3	1	2	4	42	0	935
3	1	2	4	43	1	480
3	1	2	4	44	1	887
3	1	2	4	45	1	435
3	1	2	4	46	1	513
3	1	2	4	47	0	911
3	1	2	4	48	1	494
3	1	1	6	1	1	941
3	1	1	6	2	1	737
3	1	1	6	3	1	590
3	1	1	6	4	1	777
3	1	1	6	5	1	487
3	1	1	6	6	1	574
3	1	1	6	7	1	537
3	1	1	6	8	1	687
3	1	1	6	9	1	491
3	1	1	6	10	0	915
3	1	1	6	11	1	569
3	1	1	6	12	1	960
3	1	1	6	13	1	439
3	1	1	6	14	1	572
